Date,Price
2015-05-01,429.230011
2015-06-01,434.089996
2015-07-01,536.150024
2015-08-01,512.890015
2015-09-01,511.890015
2015-10-01,625.900024
2015-11-01,664.799988
2015-12-01,675.890015
2016-01-01,587
2016-02-01,552.52002
2016-03-01,593.640015
2016-04-01,659.590027
2016-05-01,722.789978
2016-06-01,715.619995
2016-07-01,758.809998
2016-08-01,769.159973
2016-09-01,837.309998
2016-10-01,789.820007
2016-11-01,750.570007
2016-12-01,768.659973
2017-01-01,823.47998
2017-02-01,845.039978
2017-03-01,886.539978
2017-04-01,924.98999
2017-05-01,994.619995
2017-06-01,968
2017-07-01,987.780029
2017-08-01,980.599976
2017-09-01,961.349976
2017-10-01,1105.280029
2017-11-01,1176.75
2017-12-01,1169.469971
2018-01-01,1450.890015
2018-02-01,1512.449951
2018-03-01,1447.339966
2018-04-01,1566.130005
2018-05-01,1629.619995
2018-06-01,1699.800049
2018-07-01,1777.439941
2018-08-01,2012.709961
2018-09-01,2003
2018-10-01,1598.01001
2018-11-01,1690.170044
2018-12-01,1501.969971
2019-01-01,1718.72998
2019-02-01,1639.829956
2019-03-01,1780.75
2019-04-01,1926.52002
2019-05-01,1775.069946
2019-06-01,1893.630005
2019-07-01,1866.780029
2019-08-01,1776.290039
2019-09-01,1735.910034
2019-10-01,1776.660034
2019-11-01,1800.800049
2019-12-01,1847.839966
2020-01-01,2008.719971
2020-02-01,1883.75
2020-03-01,1949.719971
2020-04-01,1906.589966
2020-04-03,1906.589966
